Scenario_Number,CPU_Scenario,Speed_Scenario,Connection_Type,Range_CPU,Range_Speed,Down_Speed,Up_Speed,Latency,Jitter
1,1,1,Mobile,"(0, 0.025890782599352645)","(0, 24.807499999999997)",17.55,8.2,27.0,11.0
2,1,2,Mobile,"(0, 0.025890782599352645)","(24.807499999999997, 36.209999999999994)",28.25,11.79,23.0,9.0
3,1,3,Mobile,"(0, 0.025890782599352645)","(36.209999999999994, 79.485)",50.12,13.38,23.0,8.0
4,1,4,Mobile,"(0, 0.025890782599352645)","(79.485, 313.3)",103.58,17.68,20.0,6.0
5,1,1,Fixed,"(0, 0.025890782599352645)","(0, 21.7525)",13.145,7.6,18.0,11.0
6,1,2,Fixed,"(0, 0.025890782599352645)","(21.7525, 62.175)",42.36,19.63,7.0,4.0
7,1,3,Fixed,"(0, 0.025890782599352645)","(62.175, 111.175)",85.37,36.13,7.0,2.0
8,1,4,Fixed,"(0, 0.025890782599352645)","(111.175, 284.13)",168.02499999999998,94.18,7.0,1.0
9,2,1,Mobile,"(0.025890782599352645, 0.039586607034932914)","(0, 24.807499999999997)",17.55,8.2,27.0,11.0
10,2,2,Mobile,"(0.025890782599352645, 0.039586607034932914)","(24.807499999999997, 36.209999999999994)",28.25,11.79,23.0,9.0
11,2,3,Mobile,"(0.025890782599352645, 0.039586607034932914)","(36.209999999999994, 79.485)",50.12,13.38,23.0,8.0
12,2,4,Mobile,"(0.025890782599352645, 0.039586607034932914)","(79.485, 313.3)",103.58,17.68,20.0,6.0
13,2,1,Fixed,"(0.025890782599352645, 0.039586607034932914)","(0, 21.7525)",13.145,7.6,18.0,11.0
14,2,2,Fixed,"(0.025890782599352645, 0.039586607034932914)","(21.7525, 62.175)",42.36,19.63,7.0,4.0
15,2,3,Fixed,"(0.025890782599352645, 0.039586607034932914)","(62.175, 111.175)",85.37,36.13,7.0,2.0
16,2,4,Fixed,"(0.025890782599352645, 0.039586607034932914)","(111.175, 284.13)",168.02499999999998,94.18,7.0,1.0
17,3,1,Mobile,"(0.039586607034932914, 0.07019823522301463)","(0, 24.807499999999997)",17.55,8.2,27.0,11.0
18,3,2,Mobile,"(0.039586607034932914, 0.07019823522301463)","(24.807499999999997, 36.209999999999994)",28.25,11.79,23.0,9.0
19,3,3,Mobile,"(0.039586607034932914, 0.07019823522301463)","(36.209999999999994, 79.485)",50.12,13.38,23.0,8.0
20,3,4,Mobile,"(0.039586607034932914, 0.07019823522301463)","(79.485, 313.3)",103.58,17.68,20.0,6.0
21,3,1,Fixed,"(0.039586607034932914, 0.07019823522301463)","(0, 21.7525)",13.145,7.6,18.0,11.0
22,3,2,Fixed,"(0.039586607034932914, 0.07019823522301463)","(21.7525, 62.175)",42.36,19.63,7.0,4.0
23,3,3,Fixed,"(0.039586607034932914, 0.07019823522301463)","(62.175, 111.175)",85.37,36.13,7.0,2.0
24,3,4,Fixed,"(0.039586607034932914, 0.07019823522301463)","(111.175, 284.13)",168.02499999999998,94.18,7.0,1.0
25,4,1,Mobile,"(0.07019823522301463, 1.0)","(0, 24.807499999999997)",17.55,8.2,27.0,11.0
26,4,2,Mobile,"(0.07019823522301463, 1.0)","(24.807499999999997, 36.209999999999994)",28.25,11.79,23.0,9.0
27,4,3,Mobile,"(0.07019823522301463, 1.0)","(36.209999999999994, 79.485)",50.12,13.38,23.0,8.0
28,4,4,Mobile,"(0.07019823522301463, 1.0)","(79.485, 313.3)",103.58,17.68,20.0,6.0
29,4,1,Fixed,"(0.07019823522301463, 1.0)","(0, 21.7525)",13.145,7.6,18.0,11.0
30,4,2,Fixed,"(0.07019823522301463, 1.0)","(21.7525, 62.175)",42.36,19.63,7.0,4.0
31,4,3,Fixed,"(0.07019823522301463, 1.0)","(62.175, 111.175)",85.37,36.13,7.0,2.0
32,4,4,Fixed,"(0.07019823522301463, 1.0)","(111.175, 284.13)",168.02499999999998,94.18,7.0,1.0
